company_name,job_title,job_type,Department,Location,Posted_Time,Salary_range
Arwa Schools,French Teacher,"Research, Teaching & Training","Research, Teaching & Training",Abuja,1 month ,"NGN 70,000 - 150,000"
Bluewave New Energy Technology,Call Center & Sales Support Supervisor,Customer Service & Support,Customer Service & Support,Lagos,1 month ,"NGN 250,000 - 400,000"
FSH Limited,Technical Operations Assistant (Cloud & Development Support),Software & Data,Software & Data,Remote (Work From Home),1 month ,"NGN 250,000 - 400,000"
KTech Solar,Sales Manager,Sales,Sales,Lagos,1 month ,"NGN 250,000 - 400,000"
Castel Resources,Chief Security Officer,Hospitality & Leisure,Hospitality & Leisure,Port Harcourt & Rivers State,1 month ,"NGN 150,000 - 250,000"
Uwana Energy,Marketing Officer,Marketing & Communications,Marketing & Communications,Lagos,1 month ,"NGN 250,000 - 400,000"
Beyond Engineering Solution Providers Limited,Senior Auto Technician (Supervisory Level),Management & Business Development,Management & Business Development,Rest of Nigeria (Edo),1 month ,"NGN 250,000 - 400,000"
Humanthrive,Educated Nanny,Hospitality & Leisure,Hospitality & Leisure,Lagos,1 month ,"NGN 70,000 - 150,000"
Adassa Group,Media  Manager,Management & Business Development,Management & Business Development,Lagos,1 month ,"NGN 250,000 - 400,000"
Dipo Fakorede & Co,Estate Surveyor,Estate Agents & Property Management,Estate Agents & Property Management,Lagos,1 month ,"NGN 150,000 - 250,000"
Agrochem Mineral Resources Limited,Sales Executive,Sales,Sales,Lagos,1 month ,"NGN 70,000 - 150,000"
Jomivic Travel,Marketing Executive,Marketing & Communications,Marketing & Communications,Lagos,1 month ,"NGN 150,000 - 250,000"
"Foshan Jieko Machinery Equipment Co., Ltd.",Sales Engineers,Sales,Sales,Lagos,1 month ,"NGN 70,000 - 150,000"
KairosHof Consultants Limited,Sales Executive,Sales,Sales,Abuja,1 month ,"NGN 70,000 - 150,000"
MEG Consults,Front Desk Officer,Customer Service & Support,Customer Service & Support,Abuja,1 month ,"NGN 150,000 - 250,000"
Jomivic Travel,Admin Officer,Admin & Office,Admin & Office,Lagos,1 month ,"NGN 150,000 - 250,000"
Esosa Food Systems And Innovations Limited,Fleet and Logistics Supervisor,Driver & Transport Services,Driver & Transport Services,Lagos,1 month ,"NGN 70,000 - 150,000"
StreSERT Integrated Limited (SIL),"Head, Business Development & Operations",Management & Business Development,Management & Business Development,Port Harcourt & Rivers State,1 month ,"NGN 250,000 - 400,000"
PWAN Group,Legal Officer,Legal Services,Legal Services,Lagos,1 month ,"NGN 250,000 - 400,000"
Macsfix Ltd,Customer Service Representative,Consulting & Strategy,Consulting & Strategy,Lagos,1 month ,"NGN 150,000 - 250,000"
"Foshan Jieko Machinery Equipment Co., Ltd.",Digital Marketing Specialist (Solar/Energy Storage Focus),Marketing & Communications,Marketing & Communications,Lagos,1 month ,"NGN 70,000 - 150,000"
"Foshan Jieko Machinery Equipment Co., Ltd.",Sales and Marketing Director,Sales,Sales,Lagos,1 month ,"NGN 400,000 - 600,000"
"Foshan Jieko Machinery Equipment Co., Ltd.",Digital Marketing Specialist,Marketing & Communications,Marketing & Communications,Lagos,1 month ,"NGN 70,000 - 150,000"
"Foshan Jieko Machinery Equipment Co., Ltd.",Assembly Engineer,Engineering & Technology,Engineering & Technology,Lagos,1 month ,"NGN 70,000 - 150,000"
"Foshan Jieko Machinery Equipment Co., Ltd.",Sales Engineers (Solar Energy Solutions),Sales,Sales,Rest of Nigeria (Kano),1 month ,"NGN 70,000 - 150,000"
"Foshan Jieko Machinery Equipment Co., Ltd.",Sales Representative,Sales,Sales,Lagos,1 month ,"NGN 70,000 - 150,000"
Devcraft Innovations Limited,Mobile Developer - React Native,Software & Data,Software & Data,Remote (Work From Home),1 month ,"NGN 400,000 - 600,000"
MEG Consults,Cashier,"Accounting, Auditing & Finance","Accounting, Auditing & Finance",Abuja,1 month ,"NGN 70,000 - 150,000"
Pasadena Suites Lekki,Receptionist,Hospitality & Leisure,Hospitality & Leisure,Lagos,1 month ,"NGN 70,000 - 150,000"
Devon Pharmaceuticals Co. Ltd,Sales Representative,Medical & Pharmaceutical,Medical & Pharmaceutical,Rest of Nigeria (Kano),1 month ,"NGN 70,000 - 150,000"
Phonics Kiddies Preschool,Secretary,Admin & Office,Admin & Office,Lagos,1 month ,"NGN 70,000 - 150,000"
DexNova consulting limited,Sales Representatives,Sales,Sales,Lagos,1 month ,"NGN 150,000 - 250,000"
Precious Pharmacy and Stores (Nig) Ltd.,Audit Officer,"Accounting, Auditing & Finance","Accounting, Auditing & Finance",Abeokuta & Ogun State,1 month ,"NGN 70,000 - 150,000"
Octopus Eagle,"Senior Frontend Engineer - React, React Native, NextJS",Software & Data,Software & Data,Remote (Work From Home),1 month ,"NGN 600,000 - 900,000"
Flexile Investments and Technologies Limited,Front Desk/Admin Support,Admin & Office,Admin & Office,Ibadan & Oyo State,1 month ,"NGN 70,000 - 150,000"
Tulips n Lilies Confectionery,Sales Marketer,Marketing & Communications,Marketing & Communications,Ibadan & Oyo State,1 month ,"NGN 70,000 - 150,000"
HRLeverage Africa Consulting Limited,Content Creator / Social Media Manager,Trades & Services,Trades & Services,Abuja,1 month ,"NGN 70,000 - 150,000"
Casalavoro,General Maintenance Officer,Hospitality & Leisure,Hospitality & Leisure,Abuja,1 month ,"NGN 70,000 - 150,000"
Casalavoro,Driver,Driver & Transport Services,Driver & Transport Services,Abuja,1 month ,"NGN 70,000 - 150,000"
Merigas Nigeria Ltd,Cashier,Admin & Office,Admin & Office,Abuja,1 month ,"NGN 70,000 - 150,000"
Yeson Management Co. Ltd,Sales Engineer,Sales,Sales,Abuja,1 month ,"NGN 70,000 - 150,000"
Tulips n Lilies Confectionery,Bakery Manager,Food Services & Catering,Food Services & Catering,Ibadan & Oyo State,1 month ,"NGN 150,000 - 250,000"
